entry_time,exit_time,side,entry_price,exit_price,pnl,result
2020-01-02 10:15:00,2020-01-02 15:45:00,long,8827.75,8901.0,2924.0,win
2020-01-03 10:00:00,2020-01-03 15:45:00,long,8817.0,8811.75,-216.0,loss
2020-01-06 10:00:00,2020-01-06 15:45:00,long,8831.75,8852.5,824.0,win
2020-01-07 10:15:00,2020-01-07 15:45:00,long,8883.5,8844.25,-1576.0,loss
2020-01-08 10:00:00,2020-01-08 15:45:00,long,8882.0,8947.5,2614.0,win
2020-01-09 10:00:00,2020-01-09 15:45:00,long,9006.25,9008.5,84.0,win
2020-01-10 10:00:00,2020-01-10 15:45:00,long,9038.5,8978.25,-2416.0,loss
2020-01-13 10:00:00,2020-01-13 15:45:00,long,9035.25,9090.25,2194.0,win
2020-01-14 11:00:00,2020-01-14 15:45:00,long,9078.5,9063.0,-626.0,loss
2020-01-15 10:00:00,2020-01-15 15:45:00,long,9079.75,9062.0,-716.0,loss
2020-01-17 12:00:00,2020-01-17 15:45:00,long,9155.25,9171.75,654.0,win
2020-01-20 10:30:00,2020-01-20 17:00:00,long,9173.75,9175.0,44.0,win
2020-01-21 10:00:00,2020-01-21 15:45:00,long,9185.0,9174.75,-416.0,loss
2020-01-22 10:30:00,2020-01-22 15:45:00,long,9235.25,9188.0,-1896.0,loss
2020-01-23 10:30:00,2020-01-23 15:45:00,long,9189.25,9251.25,2474.0,win
2020-01-27 11:15:00,2020-01-27 15:45:00,long,8998.75,8960.25,-1546.0,loss
2020-01-28 10:00:00,2020-01-28 15:45:00,long,9070.75,9124.5,2144.0,win
2020-01-29 11:00:00,2020-01-29 15:45:00,long,9133.0,9104.75,-1136.0,loss
2020-01-30 10:45:00,2020-01-30 15:45:00,long,9074.75,9237.5,6504.0,win
2020-02-03 10:00:00,2020-02-03 15:45:00,long,9131.5,9105.5,-1046.0,loss
2020-02-04 10:00:00,2020-02-04 15:45:00,long,9294.25,9360.25,2634.0,win
2020-02-06 10:00:00,2020-02-06 15:45:00,long,9435.0,9464.0,1154.0,win
2020-02-07 10:00:00,2020-02-07 15:45:00,long,9436.25,9400.5,-1436.0,loss
2020-02-10 10:00:00,2020-02-10 15:45:00,long,9458.25,9526.0,2704.0,win
2020-02-11 10:00:00,2020-02-11 15:45:00,long,9597.75,9532.75,-2606.0,loss
2020-02-12 10:30:00,2020-02-12 15:45:00,long,9599.25,9623.5,964.0,win
2020-02-13 10:00:00,2020-02-13 15:45:00,long,9608.0,9625.25,684.0,win
2020-02-14 10:00:00,2020-02-14 15:45:00,long,9637.5,9630.25,-296.0,loss
2020-02-18 10:00:00,2020-02-18 15:45:00,long,9606.75,9640.25,1334.0,win
2020-02-19 10:00:00,2020-02-19 15:45:00,long,9731.25,9734.25,114.0,win
2020-02-26 09:45:00,2020-02-26 15:45:00,long,9008.0,8821.0,-7486.0,loss
2020-02-27 11:00:00,2020-02-27 15:45:00,long,8747.75,8349.75,-15926.0,loss
2020-02-28 10:15:00,2020-02-28 15:45:00,long,8340.25,8548.0,8304.0,win
