Date,Close,High,Low,Open,Volume,daily_return
2021-01-05,12793.5,12809.0,12612.0,12682.75,483173,0.008513657325292634
2021-01-06,12616.75,12844.25,12491.25,12800.25,755618,-0.013815609489193692
2021-01-07,12928.0,12959.0,12646.5,12658.5,435939,0.024669586066142335
2021-01-08,13097.25,13125.0,12919.0,12927.0,508107,0.013091738861386037
2021-01-11,12897.0,13105.25,12871.75,13093.25,454751,-0.015289469163374036
2021-01-12,12890.25,12959.0,12767.25,12910.75,461733,-0.0005233775296580312
2021-01-13,12972.25,13003.0,12820.75,12882.5,416295,0.006361397180039141
2021-01-14,12901.0,13028.75,12881.0,12975.5,417583,-0.005492493592090808
2021-01-15,12802.25,12931.25,12743.5,12909.0,539769,-0.007654445391830134
2021-01-19,12985.5,13032.75,12727.0,12774.25,481603,0.014313890136499419
2021-01-20,13294.25,13327.0,13017.0,13030.0,438765,0.02377651996457586
2021-01-21,13395.5,13423.5,13283.25,13288.5,421922,0.007616074618726154
2021-01-22,13361.5,13402.25,13300.25,13394.0,407706,-0.0025381658019484332
2021-01-25,13475.5,13554.5,13189.0,13370.0,663844,0.008531976200276903
2021-01-26,13485.5,13599.75,13380.25,13459.75,502390,0.0007420874921153509
2021-01-27,13105.5,13586.5,12884.75,13551.0,786471,-0.028178413851914996
2021-01-28,13186.0,13394.0,12906.25,13052.5,623570,0.006142459272824308
2021-01-29,12911.25,13188.0,12829.0,13156.0,738848,-0.020836493250417143
2021-02-01,13236.5,13271.5,12727.25,12849.0,549549,0.025191209216768318
2021-02-02,13449.0,13509.75,13230.5,13232.5,491671,0.016054092849318247
2021-02-03,13394.25,13584.5,13386.75,13506.0,499098,-0.004070934641980828
2021-02-04,13547.5,13568.75,13345.25,13429.5,408023,0.011441476753084379
2021-02-05,13598.0,13638.5,13519.5,13560.0,431935,0.003727625023066894
2021-02-08,13683.0,13693.0,13596.0,13623.75,393927,0.006250919252831277
2021-02-09,13680.25,13735.25,13634.0,13683.5,367116,-0.00020097931740115094
2021-02-10,13643.5,13769.25,13516.75,13698.0,552643,-0.002686354416037706
2021-02-11,13729.0,13743.75,13612.5,13662.0,495131,0.0062667204163153745
2021-02-12,13804.75,13820.75,13646.0,13711.25,392927,0.00551751766334041
2021-02-16,13767.75,13900.5,13716.0,13829.5,604657,-0.0026802368749886396
2021-02-17,13699.75,13785.0,13543.0,13758.25,583565,-0.004939078643932393
2021-02-18,13633.0,13723.25,13468.0,13699.5,574576,-0.004872351685249687
2021-02-19,13576.0,13729.0,13534.75,13638.25,535194,-0.004181031321059181
2021-02-22,13224.25,13629.0,13215.0,13585.0,648527,-0.025909693576900428
2021-02-23,13192.0,13335.75,12757.25,13227.0,873273,-0.002438701627691553
2021-02-24,13302.0,13334.0,12958.0,13170.75,673353,0.008338386901152184
2021-02-25,12831.75,13353.75,12764.0,13304.75,894521,-0.03535182679296345
2021-02-26,12911.0,13089.5,12662.25,12802.5,841911,0.006176086660042435
