entry_time,exit_time,side,entry_price,exit_price,pnl,result,quantity
2020-01-02 10:15:00,2020-01-02 15:45:00,long,8827.75,8901.0,21930.0,win,15
2020-01-03 10:00:00,2020-01-03 15:45:00,long,8817.0,8811.75,-1188.0,loss,11
2020-01-06 10:00:00,2020-01-06 15:45:00,long,8831.75,8852.5,3296.0,win,8
2020-01-07 10:15:00,2020-01-07 15:45:00,long,8883.5,8844.25,-4728.0,loss,6
2020-01-08 10:00:00,2020-01-08 15:45:00,long,8882.0,8947.5,6535.0,win,5
2020-01-09 10:00:00,2020-01-09 15:45:00,long,9006.25,9008.5,210.0,win,5
2020-01-10 10:00:00,2020-01-10 15:45:00,long,9038.5,8978.25,-6040.0,loss,5
2020-01-13 10:00:00,2020-01-13 15:45:00,long,9035.25,9090.25,6582.0,win,6
2020-01-14 11:00:00,2020-01-14 15:45:00,long,9078.5,9063.0,-1878.0,loss,6
2020-01-15 10:00:00,2020-01-15 15:45:00,long,9079.75,9062.0,-2148.0,loss,6
2020-01-17 12:00:00,2020-01-17 15:45:00,long,9155.25,9171.75,1962.0,win,6
2020-01-20 10:30:00,2020-01-20 17:00:00,long,9173.75,9175.0,154.0,win,7
2020-01-21 10:00:00,2020-01-21 15:45:00,long,9185.0,9174.75,-1456.0,loss,7
2020-01-22 10:30:00,2020-01-22 15:45:00,long,9235.25,9188.0,-6636.0,loss,7
2020-01-23 10:30:00,2020-01-23 15:45:00,long,9189.25,9251.25,7422.0,win,6
2020-01-27 11:15:00,2020-01-27 15:45:00,long,8998.75,8960.25,-3865.0,loss,5
2020-01-28 10:00:00,2020-01-28 15:45:00,long,9070.75,9124.5,4288.0,win,4
2020-01-29 11:00:00,2020-01-29 15:45:00,long,9133.0,9104.75,-2272.0,loss,4
2020-01-30 10:45:00,2020-01-30 15:45:00,long,9074.75,9237.5,13008.0,win,4
2020-02-03 10:00:00,2020-02-03 15:45:00,long,9131.5,9105.5,-2092.0,loss,4
2020-02-04 10:00:00,2020-02-04 15:45:00,long,9294.25,9360.25,3951.0,win,3
2020-02-06 10:00:00,2020-02-06 15:45:00,long,9435.0,9464.0,2308.0,win,4
2020-02-07 10:00:00,2020-02-07 15:45:00,long,9436.25,9400.5,-2872.0,loss,4
